periodo,tipo_exam,descripcion,link
ADMISIÓN 2019-I,CEPUNT,Resultados Cepunt Trujillo,http://admisionunt.info/docs/padrones/20191/20191_cepunt/20191_cepunt_truji.txt
ADMISIÓN 2019-I,CEPUNT,Resultados Cepunt Valle Jequetepeque,http://admisionunt.info/docs/padrones/20191/20191_cepunt/20191_cepunt_valle.txt
ADMISIÓN 2019-I,CEPUNT,Resultados Cepunt Huamachuco,http://admisionunt.info/docs/padrones/20191/20191_cepunt/20191_cepunt_huama.txt
ADMISIÓN 2019-I,ORDINARIO,Resultados Ordinario Área A Trujillo,http://admisionunt.info/docs/padrones/20191/20191_ordinario/20191_ordinario_A.txt
ADMISIÓN 2019-I,ORDINARIO,Resultados Ordinario Área B Trujillo,http://admisionunt.info/docs/padrones/20191/20191_ordinario/20191_ordinario_B.txt
ADMISIÓN 2019-I,ORDINARIO,Resultados Ordinario 5to Secundaria Área A Trujillo,http://admisionunt.info/docs/padrones/20191/20191_ordinario/20191_ordinario5to_A.txt
ADMISIÓN 2019-I,ORDINARIO,Resultados Ordinario 5to Secundaria Área B Trujillo,http://admisionunt.info/docs/padrones/20191/20191_ordinario/20191_ordinario5to_B.txt
ADMISIÓN 2019-I,EXTRAORDINARIO,Resultados Excelencia Trujillo,http://admisionunt.info/docs/padrones/20191/20191_extraordinario/20191_extraordinario_trujillo_excelencia.txt
ADMISIÓN 2019-I,EXTRAORDINARIO,Resultados Personas con Discapacidad Trujillo,http://admisionunt.info/docs/padrones/20191/20191_extraordinario/20191_extraordinario_trujillo_discapacidad.txt
ADMISIÓN 2019-II,CEPUNT,Resultados Cepunt Trujillo,http://admisionunt.info/docs/padrones/20192/20192_cepunt/20192_cepunt_truji.txt
ADMISIÓN 2019-II,CEPUNT,Resultados Cepunt Valle Jequetepeque,http://admisionunt.info/docs/padrones/20192/20192_cepunt/20192_cepunt_valle.txt
ADMISIÓN 2019-II,CEPUNT,Resultados Cepunt Huamachuco,http://admisionunt.info/docs/padrones/20192/20192_cepunt/20192_cepunt_huama.txt
ADMISIÓN 2019-II,ORDINARIO,Resultados Ordinario Área A Trujillo,http://admisionunt.info/docs/padrones/20192/20192_ordinario/20192_ordinario_truji_A.txt
