id_result,periods,test_type,details,link
0,ADMISIÓN 2019-I,CEPUNT,Resultados Cepunt Trujillo,http://admisionunt.info/docs/padrones/20191/20191_cepunt/20191_cepunt_truji.txt
1,ADMISIÓN 2019-I,CEPUNT,Resultados Cepunt Valle Jequetepeque,http://admisionunt.info/docs/padrones/20191/20191_cepunt/20191_cepunt_valle.txt
2,ADMISIÓN 2019-I,CEPUNT,Resultados Cepunt Huamachuco,http://admisionunt.info/docs/padrones/20191/20191_cepunt/20191_cepunt_huama.txt
3,ADMISIÓN 2019-I,ORDINARIO,Resultados Ordinario Área A Trujillo,http://admisionunt.info/docs/padrones/20191/20191_ordinario/20191_ordinario_A.txt
4,ADMISIÓN 2019-I,ORDINARIO,Resultados Ordinario Área B Trujillo,http://admisionunt.info/docs/padrones/20191/20191_ordinario/20191_ordinario_B.txt
5,ADMISIÓN 2019-I,ORDINARIO,Resultados Ordinario 5to Secundaria Área A Trujillo,http://admisionunt.info/docs/padrones/20191/20191_ordinario/20191_ordinario5to_A.txt
6,ADMISIÓN 2019-I,ORDINARIO,Resultados Ordinario 5to Secundaria Área B Trujillo,http://admisionunt.info/docs/padrones/20191/20191_ordinario/20191_ordinario5to_B.txt
7,ADMISIÓN 2019-I,EXTRAORDINARIO,Resultados Excelencia Trujillo,http://admisionunt.info/docs/padrones/20191/20191_extraordinario/20191_extraordinario_trujillo_excelencia.txt
8,ADMISIÓN 2019-I,EXTRAORDINARIO,Resultados Personas con Discapacidad Trujillo,http://admisionunt.info/docs/padrones/20191/20191_extraordinario/20191_extraordinario_trujillo_discapacidad.txt
9,ADMISIÓN 2019-II,CEPUNT,Resultados Cepunt Trujillo,http://admisionunt.info/docs/padrones/20192/20192_cepunt/20192_cepunt_truji.txt
10,ADMISIÓN 2019-II,CEPUNT,Resultados Cepunt Valle Jequetepeque,http://admisionunt.info/docs/padrones/20192/20192_cepunt/20192_cepunt_valle.txt
11,ADMISIÓN 2019-II,CEPUNT,Resultados Cepunt Huamachuco,http://admisionunt.info/docs/padrones/20192/20192_cepunt/20192_cepunt_huama.txt
12,ADMISIÓN 2019-II,ORDINARIO,Resultados Ordinario Área A Trujillo,http://admisionunt.info/docs/padrones/20192/20192_ordinario/20192_ordinario_truji_A.txt
13,ADMISIÓN 2019-II,ORDINARIO,Resultados Ordinario Área B Trujillo,http://admisionunt.info/docs/padrones/20192/20192_ordinario/20192_ordinario_truji_B.txt
