test_type,year_period,period,mod,place,link
cepunt,2019,i,,trujillo,http://admisionunt.info/docs/padrones/20191/20191_cepunt/20191_cepunt_truji.txt
cepunt,2019,i,,valle jequetepeque,http://admisionunt.info/docs/padrones/20191/20191_cepunt/20191_cepunt_valle.txt
cepunt,2019,i,,huamachuco,http://admisionunt.info/docs/padrones/20191/20191_cepunt/20191_cepunt_huama.txt
ordinario,2019,i,,trujillo,http://admisionunt.info/docs/padrones/20191/20191_ordinario/20191_ordinario_A.txt
ordinario,2019,i,,trujillo,http://admisionunt.info/docs/padrones/20191/20191_ordinario/20191_ordinario_B.txt
ordinario,2019,i,5to secundaria,trujillo,http://admisionunt.info/docs/padrones/20191/20191_ordinario/20191_ordinario5to_A.txt
ordinario,2019,i,5to secundaria,trujillo,http://admisionunt.info/docs/padrones/20191/20191_ordinario/20191_ordinario5to_B.txt
extraordinario,2019,i,excelencia,trujillo,http://admisionunt.info/docs/padrones/20191/20191_extraordinario/20191_extraordinario_trujillo_excelencia.txt
extraordinario,2019,i,personas con discapacidad,trujillo,http://admisionunt.info/docs/padrones/20191/20191_extraordinario/20191_extraordinario_trujillo_discapacidad.txt
cepunt,2019,ii,,trujillo,http://admisionunt.info/docs/padrones/20192/20192_cepunt/20192_cepunt_truji.txt
cepunt,2019,ii,,valle jequetepeque,http://admisionunt.info/docs/padrones/20192/20192_cepunt/20192_cepunt_valle.txt
cepunt,2019,ii,,huamachuco,http://admisionunt.info/docs/padrones/20192/20192_cepunt/20192_cepunt_huama.txt
ordinario,2019,ii,,trujillo,http://admisionunt.info/docs/padrones/20192/20192_ordinario/20192_ordinario_truji_A.txt
ordinario,2019,ii,,trujillo,http://admisionunt.info/docs/padrones/20192/20192_ordinario/20192_ordinario_truji_B.txt
ordinario,2019,ii,,valle,http://admisionunt.info/docs/padrones/20192/20192_ordinario/20192_ordinario_valle_A.txt
ordinario,2019,ii,,valle,http://admisionunt.info/docs/padrones/20192/20192_ordinario/20192_ordinario_valle_B.txt
ordinario,2019,ii,,huamachuco,http://admisionunt.info/docs/padrones/20192/20192_ordinario/20192_ordinario_huama_A.txt
ordinario,2019,ii,,huamachuco,http://admisionunt.info/docs/padrones/20192/20192_ordinario/20192_ordinario_huama_B.txt
ordinario,2019,ii,,santiago de chuco,http://admisionunt.info/docs/padrones/20192/20192_ordinario/20192_ordinario_stgo_A.txt
extraordinario,2019,ii,excelencia,trujillo,http://admisionunt.info/docs/padrones/20192/20192_extraordinario_trujillo/20192_extraordinario_trujillo_excelencia.txt
extraordinario,2019,ii,personas con discapacidad,trujillo,http://admisionunt.info/docs/padrones/20192/20192_extraordinario_trujillo/20192_extraordinario_trujillo_discapacidad.txt
extraordinario,2019,ii,deportistas calificados,trujillo,http://admisionunt.info/docs/padrones/20192/20192_extraordinario_trujillo/20192_extraordinario_trujillo_deportista.txt
extraordinario,2019,ii,victimas de la violencia,trujillo,http://admisionunt.info/docs/padrones/20192/20192_extraordinario_trujillo/20192_extraordinario_trujillo_victimas.txt
extraordinario,2019,ii,excelencia,valle jequetepeque,http://admisionunt.info/docs/padrones/20192/20192_extraordinario_sedes/20192_extraordinario_valle_excelencia.txt
extraordinario,2019,ii,excelencia,huamachuco,http://admisionunt.info/docs/padrones/20192/20192_extraordinario_sedes/20192_extraordinario_huama_excelencia.txt
extraordinario,2019,ii,excelencia,santiago de chuco,http://admisionunt.info/docs/padrones/20192/20192_extraordinario_sedes/20192_extraordinario_stgo_excelencia.txt
cepunt,2020,i,,trujillo,http://admisionunt.info/docs/padrones/20201/20201_cepunt/20201_cepunt_truji.txt
cepunt,2020,i,,valle jequetepeque,http://admisionunt.info/docs/padrones/20201/20201_cepunt/20201_cepunt_valle.txt
cepunt,2020,i,,huamachuco,http://admisionunt.info/docs/padrones/20201/20201_cepunt/20201_cepunt_huama.txt
ordinario,2020,i,,trujillo,http://admisionunt.info/docs/padrones/20201/20201_ordinario/20201_ordinario_A.txt
